,cpi,10yr_yield,natgas
2021-05-02,268.404,1.6019999999999999,2.95
2021-05-09,268.404,1.6019999999999999,2.95
2021-05-16,268.404,1.65,2.93
2021-05-23,268.404,1.6439999999999997,2.9059999999999997
2021-05-30,268.404,1.588,2.864
2021-06-06,270.71,1.6,3.0324999999999998
2021-06-13,270.71,1.504,3.116
2021-06-20,270.71,1.512,3.278
2021-06-27,270.71,1.502,3.284
2021-07-04,271.965,1.47,3.718
2021-07-11,271.965,1.3425,3.6525
2021-07-18,271.965,1.358,3.732
2021-07-25,271.965,1.258,3.928
2021-08-01,272.752,1.264,4.061999999999999
2021-08-08,272.752,1.224,4.151999999999999
2021-08-15,272.752,1.338,4.096
2021-08-22,272.752,1.258,3.896
2021-08-29,272.752,1.308,4.066
2021-09-05,273.942,1.304,4.49
2021-09-12,273.942,1.345,4.8675
2021-09-19,273.942,1.326,5.42
2021-09-26,273.942,1.3679999999999999,5.034000000000001
2021-10-03,276.528,1.514,5.678
2021-10-10,276.528,1.55,5.868
2021-10-17,276.528,1.565,5.544
2021-10-24,276.528,1.6460000000000001,4.946
2021-10-31,276.528,1.5859999999999999,5.678
2021-11-07,278.824,1.544,5.476
2021-11-14,278.824,1.5275,4.99
2021-11-21,278.824,1.598,4.91
2021-11-28,278.824,1.605,4.903333333333333
2021-12-05,280.806,1.434,4.32
2021-12-12,280.806,1.48,3.6740000000000004
2021-12-19,280.806,1.436,3.786
2021-12-26,280.806,1.4675,3.845
2022-01-02,282.542,1.512,3.562
2022-01-09,282.542,1.698,3.804
2022-01-16,282.542,1.75,4.418
2022-01-23,282.542,1.82,4.5
2022-01-30,282.542,1.794,4.598000000000001
2022-02-06,284.525,1.826,5.7780000000000005
2022-02-13,284.525,1.954,4.188000000000001
2022-02-20,284.525,1.9899999999999998,4.386
2022-02-27,284.525,1.9649999999999999,4.62
2022-03-06,287.467,1.802,4.568
2022-03-13,287.467,1.9120000000000001,4.706
2022-03-20,287.467,2.164,4.68
2022-03-27,287.467,2.368,5.146
2022-04-03,288.582,2.386,5.41
2022-04-10,288.582,2.59,6.078
2022-04-17,288.582,2.7600000000000002,6.64
2022-04-24,288.582,2.886,7.101999999999999
2022-05-01,291.299,2.8280000000000003,6.806
2022-05-08,291.299,3.012,8.042
2022-05-15,291.299,2.944,7.474000000000001
2022-05-22,291.299,2.8739999999999997,8.208
2022-05-29,291.299,2.772,8.792
2022-06-05,295.072,2.9175,8.5425
